FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,People_Tested,People_Hospitalized,UID,ISO3,Testing_Rate,Hospitalization_Rate
,,,Afghanistan,2020-09-01 04:28:31,33.93911,67.709953,38165,1402,29089.0,7674.0,Afghanistan,98.039112429682,3.673522861260317,,,,,,
,,,Albania,2020-09-01 04:28:31,41.1533,20.1683,9513,284,5214.0,4015.0,Albania,330.56501494196965,2.985388415851992,,,,,,
,,,Algeria,2020-09-01 04:28:31,28.0339,1.6596,44494,1510,31244.0,11740.0,Algeria,101.46622966299795,3.3937160066525824,,,,,,
,,,Andorra,2020-09-01 04:28:31,42.5063,1.5218,1176,53,908.0,215.0,Andorra,1522.034556396816,4.5068027210884365,,,,,,
,,,Angola,2020-09-01 04:28:31,-11.2027,17.8739,2654,108,1071.0,1475.0,Angola,8.075148660018229,4.069329314242653,,,,,,
,,,Antigua and Barbuda,2020-09-01 04:28:31,17.0608,-61.7964,94,3,91.0,0.0,Antigua and Barbuda,95.98888979658524,3.191489361702128,,,,,,
,,,Argentina,2020-09-01 04:28:31,-38.4161,-63.6167,417735,8660,301195.0,107880.0,Argentina,924.2788325112764,2.0730846110572494,,,,,,
,,,Armenia,2020-09-01 04:28:31,40.0691,45.0382,43781,879,37722.0,5180.0,Armenia,1477.4735981026136,2.0077202439414363,,,,,,
,,Australian Capital Territory,Australia,2020-09-01 04:28:31,-35.4735,149.0124,113,3,110.0,0.0,"Australian Capital Territory, Australia",26.395701938799345,2.6548672566371683,,,,,,
,,New South Wales,Australia,2020-09-01 04:28:31,-33.8688,151.2093,4063,52,2994.0,1017.0,"New South Wales, Australia",50.04927322000493,1.2798424809254243,,,,,,
,,Northern Territory,Australia,2020-09-01 04:28:31,-12.4634,130.8456,33,0,31.0,2.0,"Northern Territory, Australia",13.436482084690551,0.0,,,,,,
,,Queensland,Australia,2020-09-01 04:28:31,-27.4698,153.0251,1124,6,1084.0,34.0,"Queensland, Australia",21.972436711953865,0.5338078291814946,,,,,,
,,South Australia,Australia,2020-09-01 04:28:31,-34.9285,138.6007,463,4,458.0,1.0,"South Australia, Australia",26.359237119271285,0.8639308855291576,,,,,,
,,Tasmania,Australia,2020-09-01 04:28:31,-42.8821,147.3272,230,13,216.0,1.0,"Tasmania, Australia",42.95051353874883,5.652173913043479,,,,,,
